"reaction","temp","Output"
"CC(C1=CC=C(N)C=C1)=O*CC1=CC=CC(Br)=N1*O=C(C)c1ccc(Nc2nc(C)ccc2)cc1","",5.162445314
"O=C(O)C1=CC=C(OC)C(N)=C1*OC1=CC=CC=C1Br*O=C(O)c1cc(Nc2c(O)cccc2)c(OC)cc1","",6.109516074
"CC1=CC(C)=C(N)C=N1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2c(C)cc(C)nc2)cnc1","",1.80704244
"FC(F)(F)C1=CC=C(N)C=C1*CC1=CC=C(Br)C=C1C*FC(F)(F)c1ccc(Nc2cc(C)c(C)cc2)cc1","",5.543415311
"COC1=NC=C(N)C=C1*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2cnc(OC)cc2)c1","",3.863646606
"NC1=CC=CC=C1C#C*FC1=CC=C(Br)C(F)=C1*Fc1c(Nc2c(C#C)cccc2)ccc(F)c1","",6.704542343
"O=C(OCC)C1=NC=CC(N)=C1*CC1=CC(Br)=CC(C)=N1*O=C(OCC)c1nccc(Nc2cc(C)nc(C)c2)c1","",4.475064856
"FC1=CC=CC(N)=N1*FC1=CN=CC(Br)=C1*Fc1nc(Nc2cc(F)cnc2)ccc1","",5.958036134
"O=C(OC)C1=CC=NC=C1N*CC1=CN=CC(Br)=C1*O=C(OC)c1c(Nc2cc(C)cnc2)cncc1","",4.733383087
"NC1=CC(C(C)=O)=CC=C1*O=C(OC)C1=CC=CC=C1Br*O=C(OC)c1c(Nc2cc(C(=O)C)ccc2)cccc1","",5.309803865
"NC1=CC=C(C(C)(C)C)C=C1*FC1=CC=CC=C1Br*Fc1c(Nc2ccc(C(C)(C)C)cc2)cccc1","",12.4137251682811
"CC1=C(N)C=NC=C1*CC1=CC=CC(Br)=N1*N(c1c(C)ccnc1)c1nc(C)ccc1","",10.99628274
"N#CCC1=NC=CC=C1N*CC1=NC=CC(Br)=C1*N#CCc1c(Nc2cc(C)ncc2)cccn1","",4.80537285
"NC1=CC=CC=C1C#C*OC1=CC=CC=C1Br*Oc1c(Nc2c(C#C)cccc2)cccc1","",15.37924396
"NC1=CC=CC=C1F*O=C(OC)C1=CC(Br)=CC(C(OC)=O)=C1*Fc1c(Nc2cc(C(=O)OC)cc(C(=O)OC)c2)cccc1","",10.50805127
"NC1=NC=C(C(F)(F)F)C=C1*COC1=NC=CC(Br)=C1*FC(F)(F)c1cnc(Nc2cc(OC)ncc2)cc1","",5.483992042
"NC1=CC=C(C)C=C1*COC1=CC(Br)=CC=C1*O(C)c1cc(Nc2ccc(C)cc2)ccc1","",6.0367792
"NC1=CC(C(C)=O)=CC=C1*N#CC1=CC=C(Br)C=C1*O=C(C)c1cc(Nc2ccc(C#N)cc2)ccc1","",6.18937881
"NC1=CC=C(C)C=C1*BrC1=CC([N+]([O-])=O)=CC=C1*O=[N+]([O-])c1cc(Nc2ccc(C)cc2)ccc1","",7.38419883
"NC1=CC(C(C)=O)=CC=C1*FC1=CC(Br)=CC=C1*Fc1cc(Nc2cc(C(=O)C)ccc2)ccc1","",5.676529412
"NC1=CC=CC=C1C(F)(F)F*CN(C)C1=NC=CC(Br)=C1*FC(F)(F)c1c(Nc2cc(N(C)C)ncc2)cccc1","",5.539092114
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*O=C(OC)C1=CC=CC=C1Br*O=[N+]([O-])c1c(Nc2c(C(=O)OC)cccc2)cc(C(=O)O)cc1","",3.82617952
"O=C(O)C1=CC=C(OC)C(N)=C1*FC1=CC(Br)=CC=C1*Fc1cc(Nc2c(OC)ccc(C(=O)O)c2)ccc1","",4.49374149659864
"N#CC1=CC(N)=NC=C1*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2nccc(C#N)c2)c1","",4.693317311
"CC(C1=CC=CC=C1N)=O*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2c(C(=O)C)cccc2)ccc1","",5.158304157
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*OCC1=CC=CC(Br)=C1*O=[N+]([O-])c1c(Nc2cc(CO)ccc2)cc(C(=O)O)cc1","",1.549067642
"N#CC1=NC=CC(N)=C1*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2cc(C#N)ncc2)c1","",7.783106751
"O=C(O)C1=CC=C(OC)C(N)=C1*CC1=CC(Br)=CC(C)=N1*O=C(O)c1cc(Nc2cc(C)nc(C)c2)c(OC)cc1","",7.81478558
"N#CC1=NC=CC(N)=C1*CC1=CN=CC(Br)=C1*N#Cc1nccc(Nc2cc(C)cnc2)c1","",10.48015379
"FC(F)(F)C1=CC=C(N)C=C1*COC1=CN=C(Br)C=C1*FC(F)(F)c1ccc(Nc2ncc(OC)cc2)cc1","",7.282507146
"N#CC1=CC(N)=NC=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2nccc(C#N)c2)ncc1","",10.08786966
"NC1=CC=CC=C1C*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2c(C)cccc2)cnc1","",0.336346495
"NC1=CC=CC=C1F*CC(C1=CC=C(Br)C=C1)C*Fc1c(Nc2ccc(C(C)C)cc2)cccc1","",4.174329909
"CC(C1=CC=C(N)C=C1)=O*N#CC1=CC=C(Br)C=C1*O=C(C)c1ccc(Nc2ccc(C#N)cc2)cc1","",6.045141522
"NC1=CC(C(C)=O)=CC=C1*COC1=CN=C(Br)C=C1*O=C(C)c1cc(Nc2ncc(OC)cc2)ccc1","",6.73455204
"NC1=CC=C(OC)C=C1*O=C(OC)C1=CC=CC=C1Br*O=C(OC)c1c(Nc2ccc(OC)cc2)cccc1","",6.22405929304447
"CC1=C(N)C=NC=C1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2c(C)ccnc2)cnc1","",6.176025392
"FC1=CC=CC(N)=N1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2nc(F)ccc2)c1","",9.58878830083565
"NC1=CC=C(OC)C=C1*COC1=CN=C(Br)C=C1*O(C)c1cnc(Nc2ccc(OC)cc2)cc1","",9.334084311
"NC1=C(C)C=CC=C1C*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2c(C)cccc2C)c1","",1.605168635
"NC1=CC=CC=C1C(F)(F)F*COC1=NC=CC(Br)=C1*FC(F)(F)c1c(Nc2cc(OC)ncc2)cccc1","",4.361077851
"CC1=NC=CC(N)=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2cc(C)ncc2)cnc1","",4.395454031
"CC(C1=CC=C(N)C=C1)=O*O=C(OCC)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2ccc(C(=O)C)cc2)c1","",6.140535086
"NC1=CC=CC=C1C(F)(F)F*FC1=CC(Br)=NC=C1*FC(F)(F)c1c(Nc2nccc(F)c2)cccc1","",3.726045963
"O=C(O)C1=CC=C(OC)C(N)=C1*CCCCC1=CC=C(Br)C=C1*O=C(O)c1cc(Nc2ccc(CCCC)cc2)c(OC)cc1","",0.050116254
"O=C(C1=C(N)C=CN=C1)OC*BrC1=CN=CC(C(C)=O)=C1*O=C(OC)c1c(Nc2cc(C(=O)C)cnc2)ccnc1","",2.687294648
"NC1=CC=C(C(C)(C)C)C=C1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2ccc(C(C)(C)C)cc2)cnc1","",4.093634126
"NC1=CC(C(C)=O)=CC=C1*FC1=CC=CC=C1Br*Fc1c(Nc2cc(C(=O)C)ccc2)cccc1","",1.686427199
"COC1=NC=C(N)C=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2cnc(OC)cc2)cnc1","",2.986490426
"N#CC1=NC=CC(N)=C1*CN(C)C1=NC=CC(Br)=C1*N#Cc1nccc(Nc2cc(N(C)C)ncc2)c1","",4.129199518
"FC(F)(F)C1=CC=C(N)C=C1*FC1=CC=C(Br)C(F)=C1*FC(F)(F)c1ccc(Nc2c(F)cc(F)cc2)cc1","",2.106127859
"O=[N+](C1=CN=C(N)C=C1)[O-]*N#CC1=CN=C(Br)C=C1*O=[N+]([O-])c1cnc(Nc2ncc(C#N)cc2)cc1","",2.251819247
"NC1=CC=CC=C1C(F)(F)F*CC1=CC=CC(Br)=N1*FC(F)(F)c1c(Nc2nc(C)ccc2)cccc1","",3.482869981
"FC(F)(F)C1=CC=C(N)C=C1*COC1=CN=CC(Br)=C1*FC(F)(F)c1ccc(Nc2cc(OC)cnc2)cc1","",4.77258563
"NC1=CC=CC=C1C#C*CC1=CC=C(Br)C=C1C*N(c1c(C#C)cccc1)c1cc(C)c(C)cc1","",2.267901539
"O=C(C1=CC=CN=C1N)C*COC1=CN=CC(Br)=C1*O=C(C)c1c(Nc2cc(OC)cnc2)nccc1","",9.107139075
"NC1=CC(C(C)=O)=CC=C1*O=C(OC)C1=CC=C(Br)C=C1*O=C(OC)c1ccc(Nc2cc(C(=O)C)ccc2)cc1","",0.270527757
"O=C(O)C1=CC=C(OC)C(N)=C1*BrC1=CC([N+]([O-])=O)=CC=C1*O=[N+]([O-])c1cc(Nc2c(OC)ccc(C(=O)O)c2)ccc1","",11.8940803
"O=C(OCC)C1=NC=CC(N)=C1*COC1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2cc(OC)ncc2)c1","",7.79503737
"N#CC1=CC(N)=NC=C1*COC1=CN=C(Br)C=C1*O(C)c1cnc(Nc2nccc(C#N)c2)cc1","",9.807210796
"CC1=C(N)C=NC=C1*O=C(OCC)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2c(C)ccnc2)c1","",10.31464267
