"rxn","Output"
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](NC(C1=CC=CC=C1)=O)CCC2CCCCC2",11.9454298283487
"CC([C@@H](CO1)N=C1C2=NC=CC=C2)C*CC1(OB(OC1(C)C)[C@H](CCCC1=CC=CC=C1)CCCCC)C",52
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*CC(C[C@H](C1=CC=CC=C1)NC(C1=CC=CC=C1)=O)(C)C",46
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*CC(C[C@@H](C(=O)OC(C)(C)C)C1=CC(=NC=C1)C(F)(F)F)(C)C",-24
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*COC1=CC=C(C=C1)/C=C/C[C@@]1(C(N(C2=CC=CC=C12)C)=O)C",46
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*CC.CN1C(=O)[C@](C)(CC2=CC=CC=C2)C2=CC=CC=C21",16
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*C(CCCCC)[C@@]1(C(N(C2=CC=CC=C12)C)=O)C1=CC=CC=C1",25
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*C(C1=CC=CC=C1)N(C[C@]1(COC2=C1C=CC=C2)C)CC2=CC=CC=C2",84
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*COC(\C=C\C[C@]1(COC2=C1C=CC=C2)C)=O",69
"CC([C@H]1COC(C2=NC=CC=C2)=N1)C*CC1(OB(OC(C1)(C)C)[C@H](CCC)C1=CC=C(C(=O)OC)C=C1)C",20
"CC([C@H]1COC(C2=NC=CC=C2)=N1)C*CC=1C[C@@]2([C@@H](N(C=3C=CC=CC23)C)C1C1=CC=CC=C1)C",42
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)C",7.06858647122128
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C)C",7.89054681029836
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CC=C(C=C2)C(F)(F)F",14.5086414045003
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CN=C(C=C2)OC",15.7276391573167
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*COC(C=C1)=NC=C1[C@H](NC(C2=CC=CC=C2)=O)CC",11.9860631834702
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N1CCCCCC[C@H](S(C2=CC=C(C=C2)C)(=O)=O)CCCC)C3=C(C1=O)C=CC=C3",-10.2744583268015
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC1=CC=C(C=C1)S([C@H](CCCC)CCCCCCN2C3=C(C=C2)C=CC=C3)(=O)=O",-6.93548836973667
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N1CCCCCC[C@H](S(=O)(C)=O)CCCC)C2=C(C1=O)C=CC=C2",0.767653461210331
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=S([C@H](CCCC)CCCCCCN1C2=C(C=C1)C=CC=C2)(C)=O",3.7901660696596
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](CC)CCCCCC",-42.1566675560712
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N(CC1=CC=CC=C1)C2=CC=CC=C2)[C@H](CC)CCCCCC",-8.76007777059474
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*FC(F)(F)[C@@H](C1=CC=CC=C1)CCC2=CC=CC=C2",-17.111232360118
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=S([C@H](CCCC)C1=CC=CC=C1)(C)=O",-17.4187592662592
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*N#C[C@@H](C1CCCCC1)C2=CC=CC=C2",-0.42809046514878
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@H](C1=CC=C(C=C1)C(OCC)=O)NC(C2=CC=CC=C2)=O",-9.28354107275295
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C(OCC)=O)CC",12.0048027539258
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](C1=CC=C(C=C1)C)/C=C/C2=CC=C(C=C2)OC",-8.23882759111447
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](C1=CC=C(C=C1)C)/C=C/C2=CC=C(C=C2)OC",-12.1891281076766
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)[C@H](CC)C2=CC=CC=C2",-26.9227802169562
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@H](C1=CC=CC=C1)C2=CC=C(C=C2)OC",11.9652806606668
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=CC=C1)[C@@H](CC)CCC2CCCCC2",-1.16612094101596
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@@H](C1=CC=CC=C1)C2=CC(OC)=NC=C2",33.7112306042404
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@@H](C1=CC=C(OC)C=C1)C2=CC(OC)=NC=C2",0.418773403498466
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*COC1=CC([C@@H](C2=CC=CC=C2)CC3=CC=CC=C3)=CC=N1",-22.3538681420035
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)CC",5.65299584075428
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N[C@@H](CCCCC)CC1=CC=CC=C1)OCC2=CC=CC=C2",-20.2978830266947
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@@H](C1CCCCC1)NC(OCC2=CC=CC=C2)=O",-21.3914108484145
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(OCC1=CC=CC=C1)N[C@@H](CC)CC2=CC=C(C=C2)C(F)(F)F",1.68663411645011
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)C",9.17794369024679
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@@H](C)CCCC2=CC=CC=C2",8.53886800572939
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@H](NC(C1=CC=CC=C1)=O)CCCC",2.35031826942676
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](OC(C1=CC=CC=C1)=O)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3",2.22377078426092
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](OC(C1=CC=CC=C1)=O)CCCN2C(C3=C(C2=O)C=CC=C3)=O",-5.23877156652193
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C1N(CCC1)[C@@H](CCCCC)CCCOC2=CC3=C(C=C2)C=CC=C3",65.2493474897346
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC1(C)OB([C@H](CCCCC)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3)OC1(C)C",-0.784621046952452
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C1[C@@](CC)(CCN1C2=CC=CC=C2)/C=C/CCCC3=CC=CC=C3",-4.91388146866052
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F",-5.02521608321627
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@H](C)CCC2=CC=CC=C2",36.5964129897929
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(CCC1)N1[C@H](C)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3",5.93045980138851
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C1N(CCC1)[C@H](C)CCCN2C(C3=C(C2=O)C=CC=C3)=O",1.1111353528705
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C1N(CCC1)[C@@H](C)CCCC2=CC=CC=C2",13.2276189782972
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(CCC1)N1[C@H](C)CC2=CC=CC=C2",31.0355949099865
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=C2C=CC=CC2=C1)[C@@H](C)CCC3=CC=CC=C3",-3.97544219230061
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=C2C=CC=CC2=C1)[C@@H](C)CCCCC3=CC=CC=C3",10.5496952607309
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@H](C)CC2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2",-8.46901310988905
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@@H](C)CCCCCCC",10.528859640493
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@H](NC(C1=CC=CC=C1)=O)CCCC2=CC=C(C=C2)OC",-9.58967792315892
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C1CCCN1[C@H](CCCCC)CC2=CC=CC=C2",6.65292088472184
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@@H](NC(C1=CC=CC=C1)=O)CCCC2=CC=C(C=C2)OC",32.0471115332507
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(NC1=CC=CC=C1)[C@H](CC)CCC2CCCCC2",8.25393297569089
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@H](NC(C1=CC=CC=C1)=O)CCC2CCCCC2",25.7609593791267
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC[C@H](NC(C1=CC=CC=C1)=O)CCCC2=CC=C(C=C2)OC",-1.47606481304789
"CC([C@H]1COC(CC2=N[C@@H](C(C)(C)C)CO2)=N1)(C)C*F[C@H](C1=CC=C(C(=O)OC)C=C1)C1=CC=CC=C1",4
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@H](C1=CC=C(C=C1)C2=CC=CC=C2)B3OC(C)(C)C(C)(C)O3",93
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCCCCCC)C2=CC=C(C(OC)=O)C=C2",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCCCCl)C2=CC=C(C(OC)=O)C=C2",94
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(C)(C)C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(OC)=O)C=C2",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](C[Si](C)(C)C)C2=CC=C(C(OC)=O)C=C2",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCCCOC2=CC=CC=C2)C3=CC=C(C(OC)=O)C=C3",94
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCCCO[Si](C2=CC=CC=C2)(C(C)(C)C)C3=CC=CC=C3)C4=CC=C(C(OC)=O)C=C4",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCCCN(C)S(C2=CC=C(C)C=C2)(=O)=O)C3=CC=C(C(OC)=O)C=C3",94
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCOC)C2=CC=C(C(OC)=O)C=C2",94
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCCC2=CC=CC=C2)C3=CC=C(C(OC)=O)C=C3",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)OB1[C@H](CC2=CC=CC=C2)C3=CC=C(C(OC)=O)C=C3",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(OC)=O)C=C2",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*CC(O1)(C)C(C)(C)OB1[C@H](CCC)C2=CC=C(C(OC)=O)C=C2",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(OC)=O)C=C2",99
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(C)=O)C=C2",92
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(Cl)C=C2",94
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(SC)C=C2",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(OC)C=C2",90
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(F)(F)F)C=C2",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@H](C1=CC=C(C=C1)C#N)B2OC(C)(C(C)(O2)C)C",98
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C3=CC=CC=C3)C=C2",92
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(OS(C3=CC=C(C)C=C3)(=O)=O)C=C2",90
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC(OC)=CC=C2",94
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC(C(F)(F)F)=CC=C2",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=C(Cl)C=CC=C2",95
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=C(C)C=CC=C2",97
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=C(OC)C=CC=C2",87
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=C(C=CC=C3)C3=CC=C2",96
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CN(S(C3=CC=C(C)C=C3)(=O)=O)C4=C2C=CC=C4",88
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@H](C1=CC=CS1)B2OC(C)(C)C(C)(C)O2",69
"CNC(C1=CC=CC=C1)[C@H](NC)C1=CC=CC=C1*C[C@@H](B1OC(C)(C)C(C)(C)O1)C2=CC=C(C=C2)C(OC[C@H]3O[C@@H]4OC(C)(O[C@@H]4[C@H]3O)C)=O",96
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*O(C1=CC=CC=C1)CCC[C@@H](C)NC(OC(C)(C)C)=O",90
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*O(C1=CC=CC=C1)CCC[C@@H](CC)NC(OC(C)(C)C)=O",91
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*CC(C[C@@H](CCCOC1=CC=CC=C1)NC(OC(C)(C)C)=O)C",90
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*C1(CCCCC1)[C@@H](CCCOC1=CC=CC=C1)NC(OC(C)(C)C)=O",88
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*CC(C)[C@@H](CCCOC1=CC=CC=C1)NC(OC(C)(C)C)=O",90
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*O(C1=CC=CC=C1)CCC[C@@H](CCC1=CC=CC=C1)NC(OC(C)(C)C)=O",90
"CN[C@H](C1=CC=CC=C1CC)[C@H](NC)C2=C(CC)C=CC=C2*O(C1=CC=CC=C1)CCC[C@H](CC1=CC=CC=C1)NC(OC(C)(C)C)=O",90
